SYS_ID,BRAND,YY,SEASON,YYSEASON,STYLE_NO,STYLE_PO_NO,DEGREE,ITEM,SELLINGPRICE,MFGCOST,MARKUP,PURCHASEPRICE
FNF,M,25,6,25F,3AWBCPL56,3AWBCPL56C0002,C0002,WB,109000,20360,5,20310
FNF,M,25,N,25N,3ARNP015N,3ARNP015NC0004,C0004,RN,179000,28510,6,28460
FNF,M,25,6,25F,3AWBCPL56,3AWBCPL56C0001,C0001,WB,109000,20360,5,20310
FNF,X,25,6,25F,DMDV73056,DMDV73056D0001,D0001,DV,149000,10000,14,10000
FNF,X,25,6,25F,DMDV73056,DMDV73056K0001,K0001,DV,149000,49490,3,49490
FNF,X,25,6,25F,DMTP61056,DMTP61056K0001,K0001,TP,149000,42960,3,42960
FNF,X,25,6,25F,DMTR61056,DMTR61056K0001,K0001,TR,189000,55140,3,55140
FNF,X,25,6,25F,DWDJ74056,DWDJ74056K0001,K0001,DJ,199000,70430,3,70430
FNF,M,25,4,25F,3FMTB2154,3FMTB2154G0002,G0002,MT,89000,18733,4,1
FNF,M,25,4,25F,3FSKB0154,3FSKB0154G0002,G0002,SK,119000,121,895,1
FNF,M,25,4,25F,3ASPB0754,3ASPB0754G0002,G0002,SP,99000,18967,5,1
FNF,M,25,4,25F,3FSMV0154,3FSMV0154G0002,G0002,SM,79000,121,594,1
FNF,M,25,N,25N,3ABQA015N,3ABQA015NK0004,K0004,BQ,99000,14816,6,14420
FNF,M,25,3,25S,3ATSB6853,3ATSB6853T0001,T0001,TS,69000,10450,6,10330
FNF,M,25,3,25S,3ATSV6153,3ATSV6153T0001,T0001,TS,79000,14710,5,14590
FNF,M,25,3,25S,3FTSB6253,3FTSB6253T0001,T0001,TS,49000,6550,7,6430
FNF,M,25,3,25S,3FTSB6953,3FTSB6953T0001,T0001,TS,59000,8140,7,8020
FNF,M,25,3,25S,3ATSB6353,3ATSB6353T0001,T0001,TS,79000,12460,6,12340
FNF,M,25,3,25S,3FTSB6953,3FTSB6953B0001,B0001,TS,59000,8140,7,8020
FNF,M,25,3,25S,3ATSB6553,3ATSB6553B0001,B0001,TS,79000,121,594,1
FNF,M,25,3,25S,3FTSB6753,3FTSB6753B0001,B0001,TS,59000,8120,7,8000
